STATE,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021
MISIONES,0,0,0,0,0,0,0,0,0,1.41643189,7.17780274,28.4388552,72.4138277,156.177328,289.369292
BUENOS AIRES,0,0,0,0,0,0,0,0,0,0.34711116,9.23669659,31.9764854,94.4064765,194.816636,298.978969
CAPITAL FEDERAL,0,0,0,0,0,0,0,0,0,0.43201819,8.8707273,41.2222829,120.974777,269.160128,407.192532
SANTA FE,0,0,0,0,0,0,0,0,0,0.68734191,9.05635454,28.345668,90.8712871,193.047162,291.3608
CORDOBA,0,0,0,0,0,0,0,0,0,1.88149146,10.4020636,33.0250467,96.4677403,193.487704,307.041371
MENDOZA,0,0,0,0,0,0,0,0,0,0.36919862,7.80197633,17.6015296,84.0670414,201.036972,306.127089
CHUBUT,0,0,0,0,0,0,0,0,0,0.89802395,8.55195118,25.0755919,101.529996,212.557335,328.064926
TUCUMAN,0,0,0,0,0,0,0,0,0,2.47824886,10.6808452,28.717028,82.6115177,193.888966,296.1863
SANTIAGO DEL ESTERO,0,0,0,0,0,0,0,0,0,1.08203257,9.63120537,27.4981288,78.5912605,164.541458,283.256048
ENTRE RIOS,0,0,0,0,0,0,0,0,0,0.5920893,10.0533851,27.6801747,85.2196069,194.109844,304.657446
LA PAMPA,0,0,0,0,0,0,0,0,0,2.47365432,12.4881681,46.9741907,117.350287,251.315706,408.209756
SALTA,0,0,0,0,0,0,0,0,0,1.98978446,10.1513569,34.465733,88.7075206,178.533369,291.017909
CORRIENTES,0,0,0,0,0,0,0,0,0,0.99361949,9.39358003,24.7770648,85.8841603,182.499814,313.722016
CATAMARCA,0,0,0,0,0,0,0,0,0,1.70463814,12.2179327,29.5552172,93.4206949,201.952042,318.57974
SAN LUIS,0,0,0,0,0,0,0,0,0,4.14515696,11.6198782,36.6947181,115.06344,240.792144,378.377063
LA RIOJA,0,0,0,0,0,0,0,0,0,3.64023179,15.1515608,40.5578474,109.405841,228.099094,350.046859
FORMOSA,0,0,0,0,0,0,0,0,0,3.32073613,12.3812501,29.250135,103.645611,196.114758,298.108525
SANTA CRUZ,0,0,0,0,0,0,0,0,0,2.03284848,11.9218858,42.7852226,116.558542,214.612291,366.679632
JUJUY,0,0,0,0,0,0,0,0,0,1.59462113,11.3304376,33.4558058,90.9692678,183.870824,262.658793
NEUQUEN,0,0,0,0,0,0,0,0,0,2.93639862,11.4803011,44.3785047,123.962903,227.656296,380.84327
SAN JUAN,0,0,0,0,0,0,0,0,0,1.61516224,8.2124901,24.7961942,87.1834892,207.137577,296.071437
CHACO,0,0,0,0,0,0,0,0,0,1.35552547,10.8024369,27.4484416,88.9473414,182.655159,310.421978
RIO NEGRO,0,0,0,0,0,0,0,0,0,2.79297856,12.5644564,39.6700843,100.512493,223.982986,350.939571
TIERRA DEL FUEGO,0,0,0,0,0,0,0,0,0,1.16491006,16.0076076,40.3597749,115.310246,275.41802,408.281163