STATE,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021
BUENOS AIRES,0.110529377545084,0.0726832222895215,0.0548539403477794,0.0485499986461238,0.0403420250051895,0.0380564432641671,0.0329415748157784,0.0314347812190367,0.0286759400640972,0.0233137122454888,0.0257578664620107,0.0267411487832001,0.0266918028311388,0.0286091835058948
CAPITAL FEDERAL,0.0947647448641484,0.038560411311054,0.033516703705053,0.0337801087801088,0.0244462314496674,0.02016203742694,0.0175023773420031,0.0151879265596463,0.01488106711901,0.0112167982770998,0.0142566750906494,0.0139715987173614,0.0137967141550895,0.0142579010087108
CATAMARCA,0,0,0,0.00373134328358209,0.0297029702970297,0.00218818380743982,0.00881612090680101,0.00814901047729918,0.00515021459227468,0.00804375804375804,0.00803212851405622,0.00852382797365362,0.0151921358355675,0.0141992838622052
CHACO,0.0630252100840336,0.0880398671096346,0.0365079365079365,0.0337794773741236,0.0374358974358974,0.0285544318857823,0.0288268564130633,0.0233058443886698,0.0234174899377973,0.0181398416886544,0.0162259615384615,0.0197109067017083,0.0192186515437933,0.0195058517555267
CHUBUT,0,0.0909090909090909,0.00699300699300699,0.0161290322580645,0.00470035252643948,0.0241955599900224,0.0204684317718941,0.021865715983363,0.016629711751663,0.0207889666362438,0.0161750713606089,0.0176956350766811,0.0164741121095422,0.0143964562569214
CORDOBA,0.0856031128404669,0.0583333333333333,0.0123456790123457,0.0136645962732919,0.0214445271779598,0.0233644859813084,0.023037159855652,0.0171353694184054,0.0113462797294349,0.011745059838575,0.00943762120232708,0.00976615484781075,0.00995107046266284,0.0126071310194611
CORRIENTES,0,0.00719424460431655,0.0344827586206897,0.0253164556962025,0,0.0290416263310745,0.0313432835820896,0.0188472496164804,0.0200341005967604,0.0124505928853755,0.015704584040747,0.0109674892283588,0.0183670902000252,0.0124760076775432
ENTRE RIOS,0,0,0.003690036900369,0.0268199233716475,0.0300414364640884,0.0324410163339383,0.0243874643874644,0.0225927268333937,0.0207413354743744,0.0172983173454946,0.0160975609756098,0.0112598904443092,0.0131007692893594,0.0182374866879659
FORMOSA,0,0,0,0,0.125,0,0.0465116279069767,0,0.0227272727272727,0.0157384987893462,0.0478547854785479,0.0313390313390313,0.0400405473897618,0.0185671346497736
JUJUY,0.0217391304347826,0.0434782608695652,0.0355329949238579,0.0491372843210803,0.0584823586273562,0.0452434456928839,0.0434567901234568,0.0342205323193916,0.0285714285714286,0.0325,0.0300957592339261,0.0363636363636364,0.0248550124275062,0.018697049371896
LA PAMPA,0,0,0.166666666666667,0,0.0254237288135593,0.0200333889816361,0.0142198308993082,0.0212169735788631,0.0179771200290539,0.020985401459854,0.0134048257372654,0.0118058592041976,0.0155817678753459,0.0150344414495358
LA RIOJA,0.051948051948052,0.075,0.111801242236025,0.0431034482758621,0.059758423394787,0.0406360424028268,0.0317511225144323,0.0285714285714286,0.0583190394511149,0.027027027027027,0.0200601805416249,0.0177339901477833,0.0218127115456939,0.0206752159120649
MENDOZA,0.0545454545454545,0.0555555555555556,0.0410958904109589,0.0483018867924528,0.0381296966323407,0.0270716237817769,0.0276089043287471,0.0284736784019424,0.0195901145268234,0.0199344620425997,0.0199754148740012,0.0249737670514166,0.0236829386176897,0.0313625324512185
MISIONES,0.0666666666666667,0,0.153846153846154,0,0,0,0.0169491525423729,0.00952380952380952,0.0190114068441065,0.0210555867490174,0.0167566032377166,0.0202172601086301,0.0132307692307692,0.0173812282734647
NEUQUEN,0.0412371134020619,0,0.0394736842105263,0.0147651006711409,0.033423667570009,0.0291018564977421,0.0250204526861194,0.0176149208741522,0.0162248297841518,0.0132544555938296,0.0188758389261745,0.0179000801496126,0.0164366568460226,0.0207757650189336
RIO NEGRO,0.0511811023622047,0.028436018957346,0.0641025641025641,0.0428449014567266,0.0364253393665158,0.031219512195122,0.0246205435933639,0.0162466419342459,0.0199972606492261,0.014385653758991,0.0221323685890615,0.0249385317878469,0.0195957413979324,0.0261618716408473
SALTA,0.166666666666667,0,0,0.00916230366492146,0.0395791583166333,0.0589675576412977,0.0535970649226352,0.0372531418312388,0.0262206148282098,0.0342105263157895,0.0341985990935311,0.0327533265097236,0.0202038587550055,0.0226422524118921
SAN JUAN,0,0,0.111111111111111,0,0.0574162679425837,0.0859232175502742,0.0359116022099448,0.0214327090171848,0.0123026926648097,0.0172481379851039,0.0159189580318379,0.014985590778098,0.0163740964744063,0.0174356631643064
SAN LUIS,0,0,0,0,0.015748031496063,0.0203452527743527,0.0231921404412949,0.0197170379289585,0.0189090909090909,0.00991414554374489,0.0126963973972385,0.0114186181536675,0.014459959158894,0.0217310549777117
SANTA CRUZ,0,0,0.142857142857143,0.0125628140703518,0.0264026402640264,0.0210258043963046,0.0263929618768328,0.0218926553672316,0.0129441624365482,0.0139437601673251,0.0160445317616241,0.0151719487525287,0.0145062302399107,0.0124096764059064
SANTA FE,0.0186335403726708,0.03125,0.0180995475113122,0.0237825594563986,0.0259007565072445,0.0267285059381786,0.0211297906998187,0.017310504221499,0.0156287735035363,0.0178029803507846,0.0196391655703815,0.0160113020955969,0.0180114947730461,0.0197713230594418
SANTIAGO DEL ESTERO,0,0,0.0952380952380952,0,0.0151024811218986,0.0237184391736802,0.012023084321898,0.0084971676107964,0.0110926234054354,0.0103926096997691,0.0099882491186839,0.0126984126984127,0.0112866817155756,0.0181554103122731
TIERRA DEL FUEGO,0,0.0344827586206897,0,0.0168674698795181,0.0253807106598985,0.0144017725258493,0.0150344827586207,0.0160710509621484,0.0138492871690428,0.0206844678450545,0.0142993326978074,0.0217842323651452,0.0129757785467128,0.0131717597471022
TUCUMAN,0,0.0181818181818182,0,0.0028735632183908,0.0213125845737483,0.0202164193611093,0.0211573236889693,0.0178109207444842,0.0188005264147396,0.0138598822859313,0.0123598735268755,0.0134646011292891,0.0140663643858203,0.0162007352312559